,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
39,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4
50,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4
57,23,277000,OWN,3.0,PERSONAL,A,35000,,0,0.13,N,4
59,24,12000,OWN,2.0,VENTURE,E,1750,,0,0.15,Y,3
62,26,263000,MORTGAGE,0.0,EDUCATION,B,10000,,1,0.04,N,4
70,25,12000,OWN,0.0,MEDICAL,C,3000,,1,0.25,N,3
71,22,56950,RENT,6.0,MEDICAL,A,28000,,1,0.49,N,2
84,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4
85,22,108000,RENT,6.0,EDUCATION,B,28000,,1,0.26,N,4
87,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2
90,22,240000,OWN,6.0,PERSONAL,B,25000,,0,0.1,N,2
93,24,73399,RENT,0.0,VENTURE,D,27000,,1,0.37,N,3
108,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3
114,24,225000,RENT,0.0,MEDICAL,B,6000,,0,0.03,N,4
120,22,12996,OWN,1.0,EDUCATION,B,4750,,1,0.37,N,3
152,22,54996,RENT,6.0,EDUCATION,B,25000,,1,0.45,N,4
153,24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,,1,0.45,Y,4
164,23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,,1,0.29,N,3
174,23,200000,MORTGAGE,7.0,EDUCATION,A,28000,,0,0.14,N,2
187,24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,,0,0.1,N,3
188,24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,,1,0.42,Y,2
189,21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4
209,24,192000,RENT,0.0,MEDICAL,C,22000,,0,0.11,Y,2
212,26,190300,MORTGAGE,5.0,PERSONAL,A,15000,,0,0.08,N,3
213,22,190000,MORTGAGE,3.0,VENTURE,C,10000,,0,0.05,N,3
218,23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,,1,0.32,Y,2
229,21,14400,MORTGAGE,0.0,MEDICAL,C,1500,,0,0.1,N,4
238,22,183000,MORTGAGE,3.0,EDUCATION,A,1000,,0,0.01,N,2
241,26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,,1,0.34,Y,4
256,23,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,,1,0.41,N,4
268,23,15000,OWN,7.0,MEDICAL,B,4475,,1,0.3,N,4
282,22,175000,MORTGAGE,6.0,EDUCATION,B,18000,,0,0.1,N,2
307,26,110000,RENT,3.0,PERSONAL,C,25000,,0,0.23,Y,2
314,24,83300,RENT,0.0,MEDICAL,D,25000,,1,0.26,N,2
379,24,16800,MORTGAGE,,DEBTCONSOLIDATION,A,3900,,1,0.23,N,3
388,25,160000,MORTGAGE,2.0,EDUCATION,A,9000,,0,0.06,N,3
392,26,160000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,13750,,0,0.09,N,4
396,25,111996,RENT,9.0,PERSONAL,D,24250,,0,0.22,N,3
405,26,48000,RENT,4.0,MEDICAL,A,24000,,1,0.5,N,3
418,26,65000,RENT,10.0,DEBTCONSOLIDATION,A,24000,,1,0.37,N,2
419,22,17760,MORTGAGE,6.0,EDUCATION,C,4975,,1,0.28,Y,3
421,23,66000,RENT,6.0,VENTURE,A,24000,,1,0.36,N,4
430,24,75000,RENT,7.0,HOMEIMPROVEMENT,C,24000,,1,0.32,N,3
447,22,98000,RENT,7.0,DEBTCONSOLIDATION,F,24000,,1,0.24,Y,2
464,26,170000,RENT,3.0,DEBTCONSOLIDATION,C,24000,,0,0.14,Y,2
466,24,43896,RENT,8.0,HOMEIMPROVEMENT,B,23975,,1,0.55,N,2
472,22,18000,OWN,2.0,MEDICAL,C,4000,,1,0.22,N,2
