,max_depth,min_samples_split,max_leaf_nodes,min_samples_leaf,min_impurity_decrease,accuracy_in_sample,accuracy_out_of_sample,auc
0,none,2,none,1,1e-05,0.9997685211976713,0.9243986254295533,0.849444211409396
1,none,2,none,1,1e-05,0.999652781796507,0.9106529209621993,0.8423526973299919
2,none,2,none,1,1e-05,0.9996875036168563,0.9117983963344788,0.8338471320398451
3,none,2,none,1,1e-05,0.999652781796507,0.8923253150057274,0.8410666919287608
4,none,2,none,1,1e-05,0.9996064860360413,0.9095074455899198,0.8431686859273066
5,none,2,none,1,1e-05,0.9996875036168563,0.9106529209621993,0.8695839698086081
6,none,2,none,1,1e-05,0.9996412078563905,0.9335624284077892,0.8844943061537338
7,none,2,none,1,1e-05,0.9997453733174384,0.9129438717067583,0.8529287666709472
8,none,2,none,1,1e-05,0.9996759296767399,0.8911798396334479,0.8254049747720633
9,none,2,none,1,1e-05,0.9996412078563905,0.9163802978235968,0.838320187471422
10,none,2,none,1,1e-05,0.9995254684552262,0.9060710194730813,0.8525372814075742
11,none,2,none,1,1e-05,0.9996064860360413,0.9243986254295533,0.850539131997484
12,none,2,none,1,1e-05,0.9997800951377878,0.9175257731958762,0.8634598012646792
13,none,2,none,1,1e-05,0.9996875036168563,0.9255441008018328,0.8599632690541781
14,none,2,none,1,1e-05,0.9996412078563905,0.9163802978235968,0.8335038115336579
15,none,2,none,1,1e-05,0.9996643557366234,0.9117983963344788,0.8347934125901384
16,none,2,none,1,1e-05,0.9995717642156919,0.9083619702176403,0.8327425998658876
17,none,2,none,1,1e-05,0.9997222254372056,0.9243986254295533,0.8552700152754067
18,none,2,none,1,1e-05,0.9996643557366234,0.9175257731958762,0.8617407614334743
19,none,2,none,1,1e-05,0.9996990775569727,0.9140893470790378,0.834242837653479
20,none,2,none,1,1e-05,0.9996643557366234,0.9163802978235968,0.8401683414290481
21,none,2,none,1,1e-05,0.9996643557366234,0.9221076746849943,0.8629516005724032
22,none,2,none,1,1e-05,0.9996064860360413,0.8980526918671249,0.8293784740694538
23,none,2,none,1,1e-05,0.9996643557366234,0.9221076746849943,0.8487506408398903
24,none,2,none,1,1e-05,0.9997916690779042,0.9095074455899198,0.8269274294767598
25,none,2,none,1,1e-05,0.9997106514970892,0.8957617411225659,0.8266113416320885
26,none,2,none,1,1e-05,0.9995949120959248,0.9037800687285223,0.8420831602333688
27,none,2,none,1,1e-05,0.9997569472575549,0.9266895761741123,0.8806965401615607
28,none,2,none,1,1e-05,0.999652781796507,0.9198167239404352,0.8416135325036577
29,none,2,none,1,1e-05,0.9997106514970892,0.9014891179839634,0.8609719394529521
30,none,2,none,1,1e-05,0.9997569472575549,0.9095074455899198,0.8438089675622249
31,none,2,none,1,1e-05,0.9996990775569727,0.9152348224513173,0.8596504559270517
32,none,2,none,1,1e-05,0.9996412078563905,0.9083619702176403,0.8445013890219369
33,none,2,none,1,1e-05,0.999733799377322,0.9072164948453608,0.8598820182411513
34,none,2,none,1,1e-05,0.9997800951377878,0.9072164948453608,0.8326226408098187
35,none,2,none,1,1e-05,0.999652781796507,0.9049255441008018,0.8254340111769831
36,none,2,none,1,1e-05,0.9997106514970892,0.9392898052691867,0.8997986750238018
37,none,2,none,1,1e-05,0.9997800951377878,0.9278350515463918,0.859757688723206
38,none,2,none,1,1e-05,0.9995833381558084,0.9129438717067583,0.866056752704875
39,none,2,none,1,1e-05,0.9997106514970892,0.9117983963344788,0.8353731942215089
40,none,2,none,1,1e-05,0.9996412078563905,0.9060710194730813,0.8355212608459363
41,none,2,none,1,1e-05,0.9997106514970892,0.9095074455899198,0.8502627939142462
42,none,2,none,1,1e-05,0.9997222254372056,0.9117983963344788,0.8461594186746316
43,none,2,none,1,1e-05,0.999733799377322,0.9129438717067583,0.8588950581206571
44,none,2,none,1,1e-05,0.9997569472575549,0.9083619702176403,0.8445005871259296
45,none,2,none,1,1e-05,0.9996643557366234,0.9049255441008018,0.8579658605974395
46,none,2,none,1,1e-05,0.999652781796507,0.9106529209621993,0.8357781919850886
47,none,2,none,1,1e-05,0.9996412078563905,0.9152348224513173,0.8573260036714822
48,none,2,none,1,1e-05,0.9996064860360413,0.9083619702176403,0.8487420615534929
49,none,2,none,1,1e-05,0.9996412078563905,0.9243986254295533,0.8733815115928937
50,none,2,none,1,1e-05,0.9996412078563905,0.9129438717067583,0.8371731716559302
51,none,2,none,1,1e-05,0.9997800951377878,0.9198167239404352,0.8531269655854076
52,none,2,none,1,1e-05,0.9997106514970892,0.9117983963344788,0.8312814538676607
53,none,2,none,1,1e-05,0.9996759296767399,0.9117983963344788,0.8553088803088804
54,none,2,none,1,1e-05,0.9997685211976713,0.9106529209621993,0.8404301935680536
55,none,2,none,1,1e-05,0.9996643557366234,0.9209621993127147,0.870387275242047
56,none,2,none,1,1e-05,0.9996643557366234,0.9278350515463918,0.8615435108777195
57,none,2,none,1,1e-05,0.9996412078563905,0.9152348224513173,0.8667847406712854
58,none,2,none,1,1e-05,0.9996875036168563,0.9175257731958762,0.8537680468162389
59,none,2,none,1,1e-05,0.9996296339162741,0.9175257731958762,0.8700542005420054
60,none,2,none,1,1e-05,0.9996180599761577,0.9175257731958762,0.8372671046800639
61,none,2,none,1,1e-05,0.999652781796507,0.9140893470790378,0.8444159710576397
62,none,2,none,1,1e-05,0.9997222254372056,0.9106529209621993,0.8562689969604863
63,none,2,none,1,1e-05,0.9996412078563905,0.9198167239404352,0.8616343060884394
64,none,2,none,1,1e-05,0.9995949120959248,0.9003436426116839,0.8110786473800172
65,none,2,none,1,1e-05,0.9996875036168563,0.9072164948453608,0.8476677434620687
66,none,2,none,1,1e-05,0.9996759296767399,0.9060710194730813,0.8228695015510299
67,none,2,none,1,1e-05,0.9996180599761577,0.9106529209621993,0.853723218647498
68,none,2,none,1,1e-05,0.9997106514970892,0.9198167239404352,0.8462615352348993
69,none,2,none,1,1e-05,0.999733799377322,0.8991981672394044,0.8086511258380809
70,none,2,none,1,1e-05,0.9996643557366234,0.9404352806414662,0.8715188320451479
71,none,2,none,1,1e-05,0.9996643557366234,0.9106529209621993,0.8200542005420054
72,none,2,none,1,1e-05,0.9996875036168563,0.9072164948453608,0.8401299511847179
73,none,2,none,1,1e-05,0.9998032430180206,0.9221076746849943,0.8690774978446211
74,none,2,none,1,1e-05,0.9995486215596862,0.9162844036697247,0.8696578086949773
75,none,2,none,1,1e-05,0.999780097682924,0.9094036697247706,0.8631450725862899
76,none,2,none,1,1e-05,0.9997338024582765,0.8944954128440367,0.7982547501759324
77,none,2,none,1,1e-05,0.9997222286521146,0.9094036697247706,0.8566086691086691
78,none,2,none,1,1e-05,0.9996527858151432,0.9185779816513762,0.8348153875894067
79,none,2,none,1,1e-05,0.9997106548459527,0.9105504587155964,0.8412654745529574
80,none,2,none,1,1e-05,0.999675933427467,0.9059633027522935,0.8425510614700601
81,none,2,none,1,1e-05,0.999675933427467,0.911697247706422,0.8512075246393868
82,none,2,none,1,1e-05,0.9996527858151432,0.930045871559633,0.8801598829722574
83,none,2,none,1,1e-05,0.9995601953658481,0.9048165137614679,0.8315880847953215
84,none,2,none,1,1e-05,0.999675933427467,0.926605504587156,0.8715527734307077
85,none,2,none,1,1e-05,0.9995833429781718,0.8990825688073395,0.8223726199340495
86,none,2,none,1,1e-05,0.9996875072336289,0.911697247706422,0.8620587780777587
87,none,2,none,1,1e-05,0.9997338024582765,0.9220183486238532,0.8729023383768914
88,none,2,none,1,1e-05,0.9996412120089813,0.9346330275229358,0.8898406077759572
89,none,2,none,1,1e-05,0.9995833429781718,0.8910550458715596,0.8088756647252469
90,none,2,none,1,1e-05,0.9997106548459527,0.911697247706422,0.8435175530066041
91,none,2,none,1,1e-05,0.9996990810397908,0.9139908256880734,0.850832760989011
92,none,2,none,1,1e-05,0.9997685238767621,0.9162844036697247,0.8497654006390811
93,none,2,none,1,1e-05,0.9997916714890859,0.9208715596330275,0.8532986111111112
94,none,2,none,1,1e-05,0.9997685238767621,0.9220183486238532,0.8659335093875484
95,none,2,none,1,1e-05,0.9996527858151432,0.9128440366972477,0.8486980031304843
96,none,2,none,1,1e-05,0.9997569500706002,0.911697247706422,0.8269261145993759
97,none,2,none,1,1e-05,0.9997106548459527,0.9128440366972477,0.8442462752370304
98,none,2,none,1,1e-05,0.9997106548459527,0.9162844036697247,0.8545774359813466
99,none,2,none,1,1e-05,0.9997222286521146,0.9174311926605505,0.8446298227320124
100,none,2,none,1,2e-05,0.992743139546996,0.9278350515463918,0.84670197147651
101,none,2,none,1,2e-05,0.9936690547563107,0.9129438717067583,0.847878313956775
102,none,2,none,1,2e-05,0.9936922026365436,0.9140893470790378,0.8425126683493575
