,estimators,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,fold,accuracy_in_sample,accuracy_out_of_sample,oob_score,auc,public_score,private_score
0,100.0,11.0,18.0,10.0,10.0,,0,0.9490399416673418,0.9587628865979382,0.9462043263388156,0.9680103550295859,,
1,100.0,11.0,18.0,10.0,10.0,,1,0.9487621671045474,0.9369988545246277,0.9462853439196306,0.9559633690370826,,
2,100.0,11.0,18.0,10.0,10.0,,2,0.9486811495237324,0.9541809851088202,0.9460538651173018,0.9578537379374491,,
3,100.0,11.0,18.0,10.0,10.0,,3,0.9492598465295541,0.9278350515463918,0.9464242312010278,0.9462131837307153,,
4,100.0,11.0,18.0,10.0,10.0,,4,0.9491556810685061,0.9461626575028637,0.9459959954167197,0.9599903055763133,,
5,100.0,11.0,18.0,10.0,10.0,,5,0.9491788289487391,0.9415807560137457,0.9462274742190484,0.9248234380362336,,
6,100.0,11.0,18.0,10.0,10.0,,6,0.9491441071283897,0.9335624284077892,0.9464010833207949,0.948775751435326,,
7,100.0,11.0,18.0,10.0,10.0,,7,0.9492019768289719,0.9541809851088202,0.9459265517760211,0.951479674796748,,
8,100.0,11.0,18.0,10.0,10.0,,8,0.9489589240865268,0.9404352806414662,0.9461696045184662,0.9417739547609677,,
9,100.0,11.0,18.0,10.0,10.0,,9,0.9490052198469925,0.9484536082474226,0.9460885869376512,0.9543387646835922,,
10,100.0,11.0,18.0,10.0,10.0,,10,0.9490052198469925,0.9530355097365406,0.9461001608777676,0.9415971057639766,,
11,100.0,11.0,18.0,10.0,10.0,,11,0.9490978113679239,0.9553264604810997,0.9459844214766033,0.9509869876958484,,
12,100.0,11.0,18.0,10.0,10.0,,12,0.9490515156074583,0.9381443298969072,0.9463547875603292,0.9413140726933831,,
13,100.0,11.0,18.0,10.0,10.0,,13,0.948831610745246,0.9473081328751431,0.9462043263388156,0.9568738099016185,,
14,100.0,11.0,18.0,10.0,10.0,,14,0.9493524380504855,0.9415807560137457,0.9463663615004456,0.9457801812666051,,
15,100.0,11.0,18.0,10.0,10.0,,15,0.948831610745246,0.9507445589919816,0.946030717237069,0.9601813747904282,,
16,100.0,11.0,18.0,10.0,10.0,,16,0.9490283677272254,0.9495990836197021,0.9459381257161376,0.9605563671529392,,
17,100.0,11.0,18.0,10.0,10.0,,17,0.9490399416673418,0.9530355097365406,0.9458802560155554,0.9514061779621946,,
18,100.0,11.0,18.0,10.0,10.0,,18,0.9491672550086225,0.9415807560137457,0.946134882698117,0.9419021633209901,,
19,100.0,11.0,18.0,10.0,10.0,,19,0.9491672550086225,0.9484536082474226,0.9461001608777676,0.9499379917063908,,
20,100.0,11.0,18.0,10.0,10.0,,20,0.9492019768289719,0.9427262313860252,0.9460654390574184,0.944275582573455,,
21,100.0,11.0,18.0,10.0,10.0,,21,0.9491093853080405,0.9404352806414662,0.9462043263388156,0.942049330142639,,
22,100.0,11.0,18.0,10.0,10.0,,22,0.9488779065057117,0.9450171821305842,0.9461001608777676,0.9521113225678808,,
23,100.0,11.0,18.0,10.0,10.0,,23,0.9489589240865268,0.9507445589919816,0.9459844214766033,0.9530688801979408,,
24,100.0,11.0,18.0,10.0,10.0,,24,0.9490167937871089,0.9484536082474226,0.9460422911771854,0.9550440436241611,,
25,100.0,11.0,18.0,10.0,10.0,,25,0.948912628326061,0.9518900343642611,0.9461233087580004,0.9503704798294316,,
26,100.0,11.0,18.0,10.0,10.0,,26,0.9487968889248967,0.9495990836197021,0.9461464566382334,0.9423186246643013,,
27,100.0,11.0,18.0,10.0,10.0,,27,0.9490978113679239,0.9312714776632303,0.9461580305783498,0.9498449854157878,,
28,100.0,11.0,18.0,10.0,10.0,,28,0.9490283677272254,0.9461626575028637,0.9460885869376512,0.9469537995803089,,
29,100.0,11.0,18.0,10.0,10.0,,29,0.9492135507690883,0.9541809851088202,0.9461001608777676,0.958763091082196,,
30,100.0,11.0,18.0,10.0,10.0,,30,0.9489820719667597,0.9553264604810997,0.9459612735963704,0.9305054530201342,,
31,100.0,11.0,18.0,10.0,10.0,,31,0.948912628326061,0.9335624284077892,0.946134882698117,0.9342976646915302,,
32,100.0,11.0,18.0,10.0,10.0,,32,0.9491788289487391,0.9518900343642611,0.9460770129975348,0.9533352600111988,,
33,100.0,11.0,18.0,10.0,10.0,,33,0.9489936459068761,0.9553264604810997,0.9461811784585826,0.9475319437871648,,
34,100.0,11.0,18.0,10.0,10.0,,34,0.9490630895475747,0.9404352806414662,0.9463200657399798,0.9490431981811293,,
35,100.0,11.0,18.0,10.0,10.0,,35,0.9488779065057117,0.9507445589919816,0.9461001608777676,0.9478458049886621,,
36,100.0,11.0,18.0,10.0,10.0,,36,0.9488547586254789,0.9541809851088202,0.9461464566382334,0.9585551717130665,,
37,100.0,11.0,18.0,10.0,10.0,,37,0.9488200368051296,0.9610538373424972,0.9459844214766033,0.9717964227080272,,
38,100.0,11.0,18.0,10.0,10.0,,38,0.9490630895475747,0.9381443298969072,0.946134882698117,0.9491229586105591,,
39,100.0,11.0,18.0,10.0,10.0,,39,0.9489357762062939,0.9507445589919816,0.9460770129975348,0.9401667298219022,,
40,100.0,11.0,18.0,10.0,10.0,,40,0.9492019768289719,0.9415807560137457,0.946296917859747,0.9415675426463808,,
41,100.0,11.0,18.0,10.0,10.0,,41,0.9492482725894377,0.9381443298969072,0.9462853439196306,0.9440295066851083,,
42,100.0,11.0,18.0,10.0,10.0,,42,0.9490167937871089,0.9450171821305842,0.9459265517760211,0.9554579806210551,,
43,100.0,11.0,18.0,10.0,10.0,,43,0.9489589240865268,0.9541809851088202,0.9459959954167197,0.9745280769019097,,
44,100.0,11.0,18.0,10.0,10.0,,44,0.9490515156074583,0.9484536082474226,0.946215900278932,0.9698042739108222,,
45,100.0,11.0,18.0,10.0,10.0,,45,0.9489820719667597,0.9450171821305842,0.9459034038957882,0.9421750181554103,,
46,100.0,11.0,18.0,10.0,10.0,,46,0.9493640119906019,0.9518900343642611,0.9460885869376512,0.9561388210673177,,
47,100.0,11.0,18.0,10.0,10.0,,47,0.9489473501464103,0.9587628865979382,0.9461696045184662,0.9541186176721421,,
48,100.0,11.0,18.0,10.0,10.0,,48,0.9490283677272254,0.9564719358533792,0.9460538651173018,0.9621008623997737,,
49,100.0,11.0,18.0,10.0,10.0,,49,0.9491093853080405,0.9495990836197021,0.9461001608777676,0.9499632567692337,,
50,100.0,11.0,18.0,10.0,10.0,,50,0.9486811495237324,0.9564719358533792,0.9462506220992812,0.952167962551571,,
51,100.0,11.0,18.0,10.0,10.0,,51,0.9492135507690883,0.9473081328751431,0.9460654390574184,0.9478110930165725,,
52,100.0,11.0,18.0,10.0,10.0,,52,0.9489704980266432,0.9507445589919816,0.945949699656254,0.956334417825101,,
53,100.0,11.0,18.0,10.0,10.0,,53,0.9492019768289719,0.9278350515463918,0.9463432136202127,0.9207296253032617,,
54,100.0,11.0,18.0,10.0,10.0,,54,0.9489010543859446,0.9312714776632303,0.9463084917998634,0.9386721680420105,,
55,100.0,11.0,18.0,10.0,10.0,,55,0.9488200368051296,0.9587628865979382,0.9460538651173018,0.9546978221237723,,
56,100.0,11.0,18.0,10.0,10.0,,56,0.9490283677272254,0.9335624284077892,0.9460654390574184,0.9371586315685695,,
57,100.0,11.0,18.0,10.0,10.0,,57,0.9490746634876911,0.9518900343642611,0.9459959954167197,0.9412762081928457,,
58,100.0,11.0,18.0,10.0,10.0,,58,0.9490399416673418,0.9415807560137457,0.946111734817884,0.9452808501818319,,
59,100.0,11.0,18.0,10.0,10.0,,59,0.9487158713440816,0.9404352806414662,0.9462506220992812,0.9513522854920936,,
60,100.0,11.0,18.0,10.0,10.0,,60,0.9492829944097869,0.9404352806414662,0.9460654390574184,0.9368272081948062,,
61,100.0,11.0,18.0,10.0,10.0,,61,0.9491209592481569,0.9450171821305842,0.9462390481591648,0.9592692422881102,,
62,100.0,11.0,18.0,10.0,10.0,,62,0.9490978113679239,0.9381443298969072,0.9462390481591648,0.9434720100637973,,
63,100.0,11.0,18.0,10.0,10.0,,63,0.9491093853080405,0.9347079037800687,0.9461696045184662,0.9538218793828892,,
64,100.0,11.0,18.0,10.0,10.0,,64,0.9490283677272254,0.9404352806414662,0.9460885869376512,0.9574264400411827,,
65,100.0,11.0,18.0,10.0,10.0,,65,0.9490399416673418,0.9518900343642611,0.946030717237069,0.964487777105647,,
66,100.0,11.0,18.0,10.0,10.0,,66,0.9490978113679239,0.9404352806414662,0.946296917859747,0.9394846532777567,,
67,100.0,11.0,18.0,10.0,10.0,,67,0.9489820719667597,0.9450171821305842,0.9461001608777676,0.9597297297297298,,
68,100.0,11.0,18.0,10.0,10.0,,68,0.9489473501464103,0.9450171821305842,0.9460191432969526,0.9490892595435829,,
69,100.0,11.0,18.0,10.0,10.0,,69,0.9487853149847802,0.9530355097365406,0.9458918299556718,0.951371933496105,,
70,100.0,11.0,18.0,10.0,10.0,,70,0.9489704980266432,0.9541809851088202,0.9459844214766033,0.9607409991086308,,
71,100.0,11.0,18.0,10.0,10.0,,71,0.9491093853080405,0.9450171821305842,0.9462390481591648,0.9442673796791444,,
72,100.0,11.0,18.0,10.0,10.0,,72,0.9490399416673418,0.9461626575028637,0.9461001608777676,0.9494632407084449,,
73,100.0,11.0,18.0,10.0,10.0,,73,0.9489704980266432,0.9450171821305842,0.9460654390574184,0.9397121167307503,,
74,100.0,11.0,18.0,10.0,10.0,,74,0.9490173838568552,0.948394495412844,0.946181801347191,0.9576797736713938,,
