,estimators,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,fold,accuracy_in_sample,accuracy_out_of_sample,oob_score,auc,public_score,private_score
0,100.0,,,2.0,1.0,,0,0.9999305563593014,0.9564719358533792,0.9467598754644043,0.9685230634749866,,
1,100.0,,,2.0,1.0,,1,0.9999768521197672,0.9473081328751431,0.9468756148655687,0.9545364232429601,,
2,100.0,,,2.0,1.0,,2,0.9998958345389521,0.9587628865979382,0.9462853439196306,0.9632213308530015,,
3,100.0,,,2.0,1.0,,3,0.9999537042395342,0.9278350515463918,0.9470260760870823,0.9373290673211782,,
4,100.0,,,2.0,1.0,,4,0.9999421302994178,0.9495990836197021,0.9467598754644043,0.9634994849837417,,
5,100.0,,,2.0,1.0,,5,0.999918982419185,0.9427262313860252,0.9470723718475481,0.9326039051351986,,
6,100.0,,,2.0,1.0,,6,0.9999305563593014,0.9369988545246277,0.9469797803266166,0.9540991219182708,,
7,100.0,,,2.0,1.0,,7,0.9998958345389521,0.9541809851088202,0.9468987627458015,0.9563306233062331,,
8,100.0,,,2.0,1.0,,8,0.999918982419185,0.9415807560137457,0.9468408930452193,0.9379603080901782,,
9,100.0,,,2.0,1.0,,9,0.9999421302994178,0.9518900343642611,0.9466094142428907,0.9499715801439941,,
10,100.0,,,2.0,1.0,,10,0.9999537042395342,0.9541809851088202,0.9469219106260344,0.9389732622336115,,
11,100.0,,,2.0,1.0,,11,0.9999421302994178,0.9473081328751431,0.9468061712248701,0.9572054527750731,,
12,100.0,,,2.0,1.0,,12,0.9999421302994178,0.9427262313860252,0.9469450585062673,0.947381174277726,,
13,100.0,,,2.0,1.0,,13,0.9999768521197672,0.9553264604810997,0.9467251536440551,0.9548456839098699,,
14,100.0,,,2.0,1.0,,14,0.9999074084790686,0.9404352806414662,0.9464473790812606,0.9482956793729155,,
15,100.0,,,2.0,1.0,,15,0.9999537042395342,0.9507445589919816,0.9468756148655687,0.9571235329980186,,
16,100.0,,,2.0,1.0,,16,0.9999652781796508,0.9507445589919816,0.9468408930452193,0.9642857142857142,,
17,100.0,,,2.0,1.0,,17,0.9999537042395342,0.9484536082474226,0.9467714494045207,0.9435638543107423,,
18,100.0,,,2.0,1.0,,18,0.9999074084790686,0.9461626575028637,0.9468293191051029,0.949532254921068,,
19,100.0,,,2.0,1.0,,19,0.9999421302994178,0.9473081328751431,0.9470145021469659,0.9528107196837579,,
20,100.0,,,2.0,1.0,,20,0.999918982419185,0.9415807560137457,0.9469334845661509,0.9440518405943938,,
21,100.0,,,2.0,1.0,,21,0.999918982419185,0.9369988545246277,0.9470029282068495,0.938384428407228,,
22,100.0,,,2.0,1.0,,22,0.9999652781796508,0.9484536082474226,0.9468293191051029,0.9443528480714514,,
23,100.0,,,2.0,1.0,,23,0.9999537042395342,0.9576174112256587,0.946563118482425,0.9497815069039828,,
24,100.0,,,2.0,1.0,,24,0.9999537042395342,0.9473081328751431,0.94664413606324,0.954808095637584,,
25,100.0,,,2.0,1.0,,25,0.9999768521197672,0.9530355097365406,0.947361720350459,0.9598330202022334,,
26,100.0,,,2.0,1.0,,26,0.9999305563593014,0.9518900343642611,0.9466325621231235,0.9458275341579598,,
27,100.0,,,2.0,1.0,,27,0.9999537042395342,0.9324169530355098,0.9468177451649865,0.9472583515253803,,
28,100.0,,,2.0,1.0,,28,0.9999305563593014,0.9450171821305842,0.9467714494045207,0.9429460937768758,,
29,100.0,,,2.0,1.0,,29,0.999918982419185,0.9553264604810997,0.9467598754644043,0.9612424627102507,,
30,100.0,,,2.0,1.0,,30,0.999918982419185,0.9530355097365406,0.9472344070091782,0.936917994966443,,
31,100.0,,,2.0,1.0,,31,0.9999305563593014,0.9335624284077892,0.9468177451649865,0.933673937370439,,
32,100.0,,,2.0,1.0,,32,0.9999537042395342,0.9473081328751431,0.9467598754644043,0.95429257807561,,
33,100.0,,,2.0,1.0,,33,0.9999652781796508,0.9541809851088202,0.9469450585062673,0.9395845764490444,,
34,100.0,,,2.0,1.0,,34,0.999918982419185,0.9507445589919816,0.9468061712248701,0.9493321333838576,,
35,100.0,,,2.0,1.0,,35,0.9998958345389521,0.9473081328751431,0.9469566324463837,0.9436803706990042,,
36,100.0,,,2.0,1.0,,36,0.9999305563593014,0.9541809851088202,0.9469797803266166,0.9655913432229223,,
37,100.0,,,2.0,1.0,,37,0.9999421302994178,0.9587628865979382,0.9466788578835893,0.9748379849650047,,
38,100.0,,,2.0,1.0,,38,0.999918982419185,0.9415807560137457,0.9471649633684796,0.9487341225265706,,
