,estimators,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,fold,accuracy_in_sample,accuracy_out_of_sample,oob_score,auc,public_score,private_score
0,100.0,19.0,,2.0,1.0,,0,0.9999537042395342,0.9564719358533792,0.9468408930452193,0.9669471153846154,,
1,100.0,19.0,,2.0,1.0,,1,0.9999421302994178,0.9427262313860252,0.9466672839434729,0.9601448620920109,,
2,100.0,19.0,,2.0,1.0,,2,0.999918982419185,0.9576174112256587,0.9466094142428907,0.9608863310467775,,
3,100.0,19.0,,2.0,1.0,,3,0.9999652781796508,0.9289805269186713,0.9472459809492946,0.9465243688639551,,
4,100.0,19.0,,2.0,1.0,,4,0.9999305563593014,0.9518900343642611,0.946910336685918,0.9640599438531294,,
5,100.0,19.0,,2.0,1.0,,5,0.9999421302994178,0.9438717067583047,0.9464936748417264,0.9319942922168234,,
6,100.0,19.0,,2.0,1.0,,6,0.9999652781796508,0.9369988545246277,0.9468640409254523,0.9589539007092198,,
7,100.0,19.0,,2.0,1.0,,7,0.999918982419185,0.9530355097365406,0.9467135797039387,0.9540487804878048,,
8,100.0,19.0,,2.0,1.0,,8,0.9999074084790686,0.9427262313860252,0.9467830233446373,0.9380727497610615,,
9,100.0,19.0,,2.0,1.0,,9,0.9999421302994178,0.9507445589919816,0.9470839457876645,0.9473143236074271,,
10,100.0,19.0,,2.0,1.0,,10,0.9999305563593014,0.9564719358533792,0.9464705269614935,0.9420257767895837,,
11,100.0,19.0,,2.0,1.0,,11,0.9999652781796508,0.9507445589919816,0.9466209881830071,0.9569310436399043,,
12,100.0,19.0,,2.0,1.0,,12,0.9999537042395342,0.9450171821305842,0.9468177451649865,0.9509832246039142,,
13,100.0,19.0,,2.0,1.0,,13,0.9999537042395342,0.9507445589919816,0.9466904318237057,0.9551927959377975,,
14,100.0,19.0,,2.0,1.0,,14,0.9999305563593014,0.9404352806414662,0.9470376500271988,0.9524552015224887,,
15,100.0,19.0,,2.0,1.0,,15,0.9999768521197672,0.9518900343642611,0.9468756148655687,0.9527463420210334,,
16,100.0,19.0,,2.0,1.0,,16,0.9998958345389521,0.9484536082474226,0.9470955197277809,0.9628299829221622,,
17,100.0,19.0,,2.0,1.0,,17,0.9999305563593014,0.9473081328751431,0.9466209881830071,0.9532687874596588,,
18,100.0,19.0,,2.0,1.0,,18,0.9999074084790686,0.9450171821305842,0.9468408930452193,0.9484018709803157,,
19,100.0,19.0,,2.0,1.0,,19,0.9999652781796508,0.9461626575028637,0.9469219106260344,0.9585561756384917,,
20,100.0,19.0,,2.0,1.0,,20,0.9999537042395342,0.9438717067583047,0.9467945972847537,0.9403326578858494,,
21,100.0,19.0,,2.0,1.0,,21,0.999918982419185,0.9404352806414662,0.9470376500271988,0.9441455785645645,,
22,100.0,19.0,,2.0,1.0,,22,0.9999768521197672,0.9507445589919816,0.946563118482425,0.9474100732980347,,
23,100.0,19.0,,2.0,1.0,,23,0.9999305563593014,0.9564719358533792,0.9463663615004456,0.942857570436587,,
24,100.0,19.0,,2.0,1.0,,24,0.9999537042395342,0.9495990836197021,0.946910336685918,0.9588401845637584,,
25,100.0,19.0,,2.0,1.0,,25,0.9999768521197672,0.9484536082474226,0.9466904318237057,0.9512623757151,,
26,100.0,19.0,,2.0,1.0,,26,0.9999537042395342,0.9530355097365406,0.94664413606324,0.9459010448317096,,
27,100.0,19.0,,2.0,1.0,,27,0.9999537042395342,0.9335624284077892,0.947176537308596,0.9472721102162867,,
28,100.0,19.0,,2.0,1.0,,28,0.9999537042395342,0.9438717067583047,0.9467135797039387,0.9442490281743436,,
29,100.0,19.0,,2.0,1.0,,29,0.9999537042395342,0.9541809851088202,0.9463200657399798,0.960662289749286,,
30,100.0,19.0,,2.0,1.0,,30,0.9999537042395342,0.9553264604810997,0.9470723718475481,0.9377831375838928,,
31,100.0,19.0,,2.0,1.0,,31,0.999918982419185,0.9301260022909508,0.9468640409254523,0.9401405220964575,,
32,100.0,19.0,,2.0,1.0,,32,0.9999652781796508,0.9484536082474226,0.9473269985301096,0.9589843397214747,,
33,100.0,19.0,,2.0,1.0,,33,0.999918982419185,0.9518900343642611,0.9467135797039387,0.9445896174975823,,
34,100.0,19.0,,2.0,1.0,,34,0.9999305563593014,0.9473081328751431,0.9468756148655687,0.9511746873815841,,
35,100.0,19.0,,2.0,1.0,,35,0.9998958345389521,0.9484536082474226,0.9469566324463837,0.9503056294981761,,
36,100.0,19.0,,2.0,1.0,,36,0.9999537042395342,0.9530355097365406,0.946991354266733,0.9637268847795164,,
37,100.0,19.0,,2.0,1.0,,37,0.9999652781796508,0.9587628865979382,0.9465862663626579,0.9736455543074398,,
38,100.0,19.0,,2.0,1.0,,38,0.9998726866587192,0.9404352806414662,0.947176537308596,0.9543247213341398,,
39,100.0,19.0,,2.0,1.0,,39,0.9999537042395342,0.9415807560137457,0.9470955197277809,0.949090564607806,,
40,100.0,19.0,,2.0,1.0,,40,0.9999305563593014,0.9415807560137457,0.9468061712248701,0.9570769940064546,,
41,100.0,19.0,,2.0,1.0,,41,0.9999421302994178,0.9404352806414662,0.9466788578835893,0.9446334716459197,,
42,100.0,19.0,,2.0,1.0,,42,0.9999537042395342,0.9427262313860252,0.9468987627458015,0.941145426526778,,
43,100.0,19.0,,2.0,1.0,,43,0.9999537042395342,0.9507445589919816,0.9467367275841715,0.9667773476912918,,
44,100.0,19.0,,2.0,1.0,,44,0.9999537042395342,0.9461626575028637,0.9468408930452193,0.9697646354139141,,
45,100.0,19.0,,2.0,1.0,,45,0.9999305563593014,0.9507445589919816,0.9468177451649865,0.9404003267973857,,
46,100.0,19.0,,2.0,1.0,,46,0.9999421302994178,0.9530355097365406,0.9467135797039387,0.9638220361973413,,
47,100.0,19.0,,2.0,1.0,,47,0.9999652781796508,0.9610538373424972,0.9465168227219593,0.9584291223256332,,
48,100.0,19.0,,2.0,1.0,,48,0.9999652781796508,0.9564719358533792,0.9464589530213771,0.9618786985236201,,
49,100.0,19.0,,2.0,1.0,,49,0.9999652781796508,0.9473081328751431,0.9471881112487124,0.9471839611087034,,
50,100.0,19.0,,2.0,1.0,,50,0.999918982419185,0.9530355097365406,0.9468408930452193,0.9626904157410346,,
51,100.0,19.0,,2.0,1.0,,51,0.9999537042395342,0.9473081328751431,0.9465746924225414,0.9429590956988216,,
52,100.0,19.0,,2.0,1.0,,52,0.9999652781796508,0.9541809851088202,0.9463200657399798,0.9620279996056393,,
