,estimators,min_samples_split,min_samples_leaf,features,accuracy_in_sample,accuracy_out_of_sample,oob_score,public_score,private_score
0,100,10,2,,0.9677434288954989,0.9495990836197021,0.9472112591289452,,
1,100,10,2,,0.9673499149315401,0.9495990836197021,0.9470723718475481,,
2,100,10,2,,0.9678360204164304,0.9587628865979382,0.9469797803266166,,
3,100,10,2,,0.9679980555780604,0.9507445589919816,0.947257554889411,,
4,100,10,2,,0.9676508373745675,0.9392898052691867,0.9470839457876645,,
5,100,10,2,,0.9673267670513073,0.9484536082474226,0.9470839457876645,,
6,100,10,2,,0.9678244464763139,0.9461626575028637,0.9466788578835893,,
7,100,10,2,,0.9676855591949167,0.9564719358533792,0.9468756148655687,,
8,100,10,2,,0.9676276894943345,0.9473081328751431,0.9467598754644043,,
9,100,10,2,,0.9674888022129373,0.9507445589919816,0.947419590051041,,
10,100,10,2,,0.9675466719135195,0.9335624284077892,0.9473964421708082,,
11,100,10,2,,0.9673036191710744,0.9312714776632303,0.9471649633684796,,
12,100,10,2,,0.9669911227879306,0.9518900343642611,0.9470955197277809,,
13,100,10,2,,0.9675698197937523,0.9507445589919816,0.9471996851888288,,
14,100,10,2,,0.9676508373745675,0.9530355097365406,0.9471533894283631,,
15,100,10,2,,0.9673036191710744,0.9553264604810997,0.9468408930452193,,
16,100,10,2,,0.9675698197937523,0.9587628865979382,0.946991354266733,,
17,100,10,2,,0.9676508373745675,0.9495990836197021,0.9468177451649865,,
18,100,10,2,,0.9678591682966632,0.9495990836197021,0.9472112591289452,,
19,100,10,2,,0.9674425064524717,0.9438717067583047,0.9470029282068495,,
20,100,10,2,,0.9674772282728209,0.9450171821305842,0.9472228330690617,,
21,100,10,2,,0.9673962106920059,0.9461626575028637,0.9470029282068495,,
22,100,10,2,,0.9677434288954989,0.9221076746849943,0.9475584773324383,,
23,100,10,2,,0.9677318549553825,0.9473081328751431,0.9467945972847537,,
24,100,10,2,,0.9673499149315401,0.9427262313860252,0.9471649633684796,,
25,100,10,2,,0.9675466719135195,0.9461626575028637,0.9470260760870823,,
26,100,10,2,,0.9671994537100265,0.9564719358533792,0.9467945972847537,,
