,estimators,min_samples_split,min_samples_leaf,features,accuracy_in_sample,accuracy_out_of_sample,oob_score,public_score,private_score
0,100,10,2,sqrt,0.9543176583604357,0.9473081328751431,0.9462390481591648,,
1,100,10,2,sqrt,0.9542019189592713,0.9495990836197021,0.946377935440562,,
2,100,10,2,sqrt,0.9543639541209014,0.9587628865979382,0.9458223863149732,,
3,100,10,2,sqrt,0.9543176583604357,0.9438717067583047,0.9462737699795142,,
4,100,10,2,sqrt,0.9542829365400863,0.9358533791523482,0.9464589530213771,,
5,100,10,2,sqrt,0.9543986759412507,0.9507445589919816,0.9461001608777676,,
6,100,10,2,sqrt,0.9545607111028808,0.9461626575028637,0.9464473790812606,,
7,100,10,2,sqrt,0.9542366407796206,0.9507445589919816,0.9460770129975348,,
8,100,10,2,sqrt,0.9542945104802028,0.9473081328751431,0.9461233087580004,,
9,100,10,2,sqrt,0.9541440492586891,0.9495990836197021,0.9460654390574184,,
10,100,10,2,sqrt,0.9544333977616,0.9347079037800687,0.946377935440562,,
11,100,10,2,sqrt,0.9543523801807849,0.9278350515463918,0.9465399706021921,,
12,100,10,2,sqrt,0.9543755280610178,0.9553264604810997,0.9463663615004456,,
13,100,10,2,sqrt,0.954676450504045,0.9553264604810997,0.945868682075439,,
14,100,10,2,sqrt,0.9543871020011342,0.9576174112256587,0.9458802560155554,,
15,100,10,2,sqrt,0.9544796935220657,0.9484536082474226,0.9459381257161376,,
16,100,10,2,sqrt,0.9543755280610178,0.9587628865979382,0.9456603511533431,,
17,100,10,2,sqrt,0.9544333977616,0.9507445589919816,0.9461001608777676,,
18,100,10,2,sqrt,0.9543292323005521,0.9415807560137457,0.9460770129975348,,
19,100,10,2,sqrt,0.9542019189592713,0.9381443298969072,0.9460770129975348,,
20,100,10,2,sqrt,0.9543292323005521,0.9404352806414662,0.946215900278932,,
21,100,10,2,sqrt,0.9543523801807849,0.9473081328751431,0.9461464566382334,,
22,100,10,2,sqrt,0.9547227462645108,0.9266895761741123,0.9462506220992812,,
23,100,10,2,sqrt,0.9541787710790385,0.9473081328751431,0.9462390481591648,,
24,100,10,2,sqrt,0.9545607111028808,0.9369988545246277,0.9462737699795142,,
25,100,10,2,sqrt,0.9545722850429972,0.9461626575028637,0.9461811784585826,,
26,100,10,2,sqrt,0.9541556231988055,0.9518900343642611,0.945949699656254,,
27,100,10,2,sqrt,0.9544796935220657,0.9461626575028637,0.9462274742190484,,
28,100,10,2,sqrt,0.9543060844203192,0.9484536082474226,0.9460191432969526,,
29,100,10,2,sqrt,0.9542597886598535,0.9473081328751431,0.9462853439196306,,
30,100,10,2,sqrt,0.9541787710790385,0.9404352806414662,0.946111734817884,,
31,100,10,2,sqrt,0.9544449717017164,0.9450171821305842,0.9464358051411442,,
32,100,10,2,sqrt,0.9545375632226479,0.9358533791523482,0.946134882698117,,
33,100,10,2,sqrt,0.9544681195819493,0.9495990836197021,0.9460538651173018,,
34,100,10,2,sqrt,0.9544333977616,0.9507445589919816,0.9463316396800963,,
35,100,10,2,sqrt,0.9544565456418328,0.9507445589919816,0.9460538651173018,,
36,100,10,2,sqrt,0.9543986759412507,0.9473081328751431,0.9461233087580004,,
37,100,10,2,sqrt,0.9542597886598535,0.9553264604810997,0.946111734817884,,
38,100,10,2,sqrt,0.9542019189592713,0.9450171821305842,0.9463200657399798,,
39,100,10,2,sqrt,0.9545028414022986,0.9381443298969072,0.9462621960393977,,
40,100,10,2,sqrt,0.9543408062406685,0.9473081328751431,0.9463200657399798,,
41,100,10,2,sqrt,0.9542366407796206,0.9369988545246277,0.9462043263388156,,
42,100,10,2,sqrt,0.9542134928993877,0.9495990836197021,0.9460191432969526,,
43,100,10,2,sqrt,0.9545028414022986,0.9312714776632303,0.946134882698117,,
44,100,10,2,sqrt,0.9542134928993877,0.9450171821305842,0.9462853439196306,,
45,100,10,2,sqrt,0.9544102498813671,0.9404352806414662,0.9463432136202127,,
46,100,10,2,sqrt,0.9543871020011342,0.9564719358533792,0.9459149778359047,,
47,100,10,2,sqrt,0.9546070068633465,0.9415807560137457,0.946030717237069,,
48,100,10,2,sqrt,0.9543408062406685,0.9450171821305842,0.9461233087580004,,
49,100,10,2,sqrt,0.9543639541209014,0.9495990836197021,0.9460538651173018,,
50,100,10,2,sqrt,0.9542945104802028,0.9392898052691867,0.9465283966620757,,
51,100,10,2,sqrt,0.95459543292323,0.9587628865979382,0.9461580305783498,,
52,100,10,2,sqrt,0.9545259892825314,0.9507445589919816,0.9459265517760211,,
53,100,10,2,sqrt,0.9548963553662574,0.9473081328751431,0.9464589530213771,,
54,100,10,2,sqrt,0.95459543292323,0.9381443298969072,0.9462737699795142,,
55,100,10,2,sqrt,0.9544333977616,0.9324169530355098,0.9463432136202127,,
56,100,10,2,sqrt,0.9543292323005521,0.9484536082474226,0.9458918299556718,,
57,100,10,2,sqrt,0.9543523801807849,0.9415807560137457,0.9462506220992812,,
58,100,10,2,sqrt,0.9545722850429972,0.9484536082474226,0.9460538651173018,,
59,100,10,2,sqrt,0.9543176583604357,0.9484536082474226,0.9460191432969526,,
60,100,10,2,sqrt,0.9542945104802028,0.9610538373424972,0.9460191432969526,,
61,100,10,2,sqrt,0.9541324753185727,0.9450171821305842,0.9462853439196306,,
62,100,10,2,sqrt,0.9543871020011342,0.9473081328751431,0.9462390481591648,,
63,100,10,2,sqrt,0.9543986759412507,0.9450171821305842,0.9460422911771854,,
64,100,10,2,sqrt,0.9544449717017164,0.9564719358533792,0.9458223863149732,,
65,100,10,2,sqrt,0.9545375632226479,0.9381443298969072,0.9462853439196306,,
66,100,10,2,sqrt,0.9545722850429972,0.9324169530355098,0.9463432136202127,,
67,100,10,2,sqrt,0.9543523801807849,0.9576174112256587,0.9462390481591648,,
68,100,10,2,sqrt,0.9544449717017164,0.9541809851088202,0.9463663615004456,,
69,100,10,2,sqrt,0.9543871020011342,0.9324169530355098,0.9463316396800963,,
70,100,10,2,sqrt,0.9542713625999699,0.9518900343642611,0.945949699656254,,
71,100,10,2,sqrt,0.9543176583604357,0.9667812142038946,0.9458108123748568,,
72,100,10,2,sqrt,0.9545375632226479,0.9495990836197021,0.9458339602550896,,
73,100,10,2,sqrt,0.9546301547435794,0.9495990836197021,0.9459844214766033,,
74,100,10,2,sqrt,0.9545033679775932,0.9518348623853211,0.9459503252239532,,
75,100,10,2,sqrt,0.9545033679775932,0.9369266055045872,0.9463322608272957,,
76,100,10,2,sqrt,0.9543760561098122,0.9403669724770642,0.9462049489595148,,
77,100,10,2,sqrt,0.9544570727529456,0.9461009174311926,0.9461123585102197,,
78,100,10,2,sqrt,0.9542834656605171,0.9438073394495413,0.9462512441841624,,
79,100,10,2,sqrt,0.954295039466679,0.9575688073394495,0.945857734774658,,
80,100,10,2,sqrt,0.9543066132728409,0.9506880733944955,0.9463091132149719,,
81,100,10,2,sqrt,0.954514941783755,0.930045871559633,0.9464595726950765,,
82,100,10,2,sqrt,0.9544917941714313,0.9288990825688074,0.9463785560519432,,
83,100,10,2,sqrt,0.9546538274576978,0.9392201834862385,0.9459850466424389,,
84,100,10,2,sqrt,0.9540404157311173,0.963302752293578,0.9459040299993056,,
85,100,10,2,sqrt,0.9544454989467837,0.9621559633027523,0.9460313418670864,,
86,100,10,2,sqrt,0.9544686465591075,0.9334862385321101,0.9464364250827527,,
87,100,10,2,sqrt,0.9541214323742506,0.9461009174311926,0.9459966204486008,,
88,100,10,2,sqrt,0.9544454989467837,0.9495412844036697,0.9461933751533529,,
89,100,10,2,sqrt,0.9543529084974884,0.9415137614678899,0.9462512441841624,,
90,100,10,2,sqrt,0.9545265155899169,0.9472477064220184,0.9460660632855721,,
91,100,10,2,sqrt,0.9543413346913265,0.9472477064220184,0.9463438346334575,,
92,100,10,2,sqrt,0.9544339251406218,0.9587155963302753,0.9460313418670864,,
93,100,10,2,sqrt,0.9543297608851647,0.9438073394495413,0.9461702275410292,,
94,100,10,2,sqrt,0.9542487442420314,0.9506880733944955,0.9462049489595148,,
95,100,10,2,sqrt,0.9542371704358695,0.9426605504587156,0.9461933751533529,,
96,100,10,2,sqrt,0.95417930140506,0.9392201834862385,0.9462628179903243,,
97,100,10,2,sqrt,0.9545380893960788,0.9587155963302753,0.9459387514177913,,
98,100,10,2,sqrt,0.9542371704358695,0.9506880733944955,0.946077637091734,,
99,100,10,2,sqrt,0.9547001226823453,0.9518348623853211,0.9460081942547626,,
100,100,10,3,sqrt,0.9529056376662307,0.9461626575028637,0.9458455341952061,,
101,100,10,3,sqrt,0.952431106121457,0.9484536082474226,0.9456719250934595,,
102,100,10,3,sqrt,0.9522227751993612,0.9599083619702177,0.9457182208539253,,
103,100,10,3,sqrt,0.9527551764447171,0.9450171821305842,0.9459959954167197,,
104,100,10,3,sqrt,0.9527783243249499,0.9358533791523482,0.9462506220992812,,
105,100,10,3,sqrt,0.9526278631034363,0.9507445589919816,0.9462853439196306,,
106,100,10,3,sqrt,0.9524774018819226,0.9473081328751431,0.9460191432969526,,
107,100,10,3,sqrt,0.9525699934028541,0.9518900343642611,0.9458802560155554,,
108,100,10,3,sqrt,0.9524542540016898,0.9461626575028637,0.945949699656254,,
109,100,10,3,sqrt,0.9524889758220391,0.9507445589919816,0.9458223863149732,,
110,100,10,3,sqrt,0.9525352715825048,0.9358533791523482,0.9460422911771854,,
111,100,10,3,sqrt,0.9524542540016898,0.9266895761741123,0.9462621960393977,,
112,100,10,3,sqrt,0.9522806448999432,0.9553264604810997,0.9460191432969526,,
113,100,10,3,sqrt,0.9523732364208748,0.9541809851088202,0.9458918299556718,,
114,100,10,3,sqrt,0.9523848103609912,0.9564719358533792,0.9458339602550896,,
115,100,10,3,sqrt,0.9526510109836692,0.9473081328751431,0.9460885869376512,,
116,100,10,3,sqrt,0.9523848103609912,0.9576174112256587,0.9457529426742746,,
117,100,10,3,sqrt,0.9525584194627377,0.9484536082474226,0.9460422911771854,,
118,100,10,3,sqrt,0.952593141283087,0.9415807560137457,0.9456487772132267,,
119,100,10,3,sqrt,0.9527667503848335,0.9415807560137457,0.946192752398699,,
120,100,10,3,sqrt,0.9524774018819226,0.9415807560137457,0.9460191432969526,,
121,100,10,3,sqrt,0.9526625849237856,0.9473081328751431,0.9462621960393977,,
122,100,10,3,sqrt,0.9528130461452993,0.9266895761741123,0.9461580305783498,,
123,100,10,3,sqrt,0.9523500885406418,0.9450171821305842,0.9460538651173018,,
124,100,10,3,sqrt,0.9528940637261143,0.9381443298969072,0.9460422911771854,,
125,100,10,3,sqrt,0.952407958241224,0.9461626575028637,0.9460770129975348,,
126,100,10,3,sqrt,0.9524542540016898,0.9507445589919816,0.9457876644946239,,
127,100,10,3,sqrt,0.9526625849237856,0.9461626575028637,0.9460191432969526,,
128,100,10,3,sqrt,0.952431106121457,0.9495990836197021,0.9460885869376512,,
129,100,10,3,sqrt,0.9527898982650663,0.9461626575028637,0.9460075693568362,,
130,100,10,3,sqrt,0.9525468455226213,0.9404352806414662,0.946134882698117,,
131,100,10,3,sqrt,0.9526857328040185,0.9450171821305842,0.9458571081353225,,
132,100,10,3,sqrt,0.9529172116063471,0.9381443298969072,0.9459959954167197,,
133,100,10,3,sqrt,0.9525236976423884,0.9495990836197021,0.9459149778359047,,
