,estimators,min_samples_split,min_samples_leaf,features,accuracy_in_sample,accuracy_out_of_sample,oob_score,public_score,private_score
0,100,2,4,sqrt,0.9516903739540051,0.9473081328751431,0.945683499033576,,
1,100,2,4,sqrt,0.9519102788162174,0.9461626575028637,0.9459381257161376,,
2,100,2,4,sqrt,0.9518524091156353,0.9461626575028637,0.9457413687341581,,
3,100,2,4,sqrt,0.9519334266964503,0.9507445589919816,0.9455793335725281,,
4,100,2,4,sqrt,0.9520954618580804,0.9335624284077892,0.945949699656254,,
5,100,2,4,sqrt,0.951898704876101,0.9495990836197021,0.9456950729736925,,
6,100,2,4,sqrt,0.9517829654749367,0.9484536082474226,0.9457992384347403,,
7,100,2,4,sqrt,0.952083887917964,0.9541809851088202,0.9457413687341581,,
8,100,2,4,sqrt,0.9516325042534229,0.9461626575028637,0.9459265517760211,,
9,100,2,4,sqrt,0.952083887917964,0.9518900343642611,0.9459728475364868,,
10,100,2,4,sqrt,0.9514936169720258,0.9461626575028637,0.9457876644946239,,
11,100,2,4,sqrt,0.9518408351755188,0.9381443298969072,0.9458918299556718,,
12,100,2,4,sqrt,0.9519565745766831,0.9381443298969072,0.9455561856922953,,
13,100,2,4,sqrt,0.9518524091156353,0.9507445589919816,0.9457297947940417,,
14,100,2,4,sqrt,0.9517250957743545,0.9427262313860252,0.946030717237069,,
15,100,2,4,sqrt,0.9517945394150531,0.9599083619702177,0.9456024814527609,,
16,100,2,4,sqrt,0.9518292612354023,0.9621993127147767,0.9455214638719459,,
17,100,2,4,sqrt,0.952060740037731,0.9358533791523482,0.9457182208539253,,
18,100,2,4,sqrt,0.9517019478941215,0.9438717067583047,0.9458455341952061,,
19,100,2,4,sqrt,0.952060740037731,0.9427262313860252,0.945764516614391,,
20,100,2,4,sqrt,0.9518408351755188,0.9473081328751431,0.9458108123748568,,
21,100,2,4,sqrt,0.9516209303133065,0.9587628865979382,0.9454404462911309,,
22,100,2,4,sqrt,0.9519218527563338,0.9369988545246277,0.9457876644946239,,
23,100,2,4,sqrt,0.9517019478941215,0.9347079037800687,0.9455909075126445,,
24,100,2,4,sqrt,0.9520954618580804,0.9461626575028637,0.9458108123748568,,
25,100,2,4,sqrt,0.9519218527563338,0.9541809851088202,0.9457760905545075,,
26,100,2,4,sqrt,0.9518408351755188,0.9553264604810997,0.9457297947940417,,
27,100,2,4,sqrt,0.9516903739540051,0.9518900343642611,0.9458223863149732,,
28,100,2,4,sqrt,0.9517366697144709,0.9381443298969072,0.9455098899318295,,
29,100,2,4,sqrt,0.9519102788162174,0.9324169530355098,0.9459034038957882,,
30,100,2,4,sqrt,0.952060740037731,0.9404352806414662,0.9460538651173018,,
31,100,2,4,sqrt,0.9519912963970324,0.9438717067583047,0.945868682075439,,
32,100,2,4,sqrt,0.9520491660976146,0.9427262313860252,0.9455098899318295,,
33,100,2,4,sqrt,0.9516440781935395,0.9599083619702177,0.945417298410898,,
34,100,2,4,sqrt,0.9517135218342381,0.9518900343642611,0.9455909075126445,,
35,100,2,4,sqrt,0.9517366697144709,0.9438717067583047,0.9457297947940417,,
36,100,2,4,sqrt,0.9518755569958681,0.9484536082474226,0.9456256293329939,,
37,100,2,4,sqrt,0.951898704876101,0.9381443298969072,0.9458918299556718,,
38,100,2,4,sqrt,0.9518061133551695,0.9461626575028637,0.9456950729736925,,
39,100,2,4,sqrt,0.9519450006365667,0.9473081328751431,0.9455561856922953,,
40,100,2,4,sqrt,0.9519102788162174,0.9518900343642611,0.9455677596324117,,
41,100,2,4,sqrt,0.9521417576185461,0.9473081328751431,0.945949699656254,,
42,100,2,4,sqrt,0.9518639830557517,0.9427262313860252,0.9455446117521787,,
43,100,2,4,sqrt,0.9517829654749367,0.9404352806414662,0.9458223863149732,,
44,100,2,4,sqrt,0.951979722456916,0.9495990836197021,0.9453825765905487,,
45,100,2,4,sqrt,0.9520260182173818,0.9415807560137457,0.9458223863149732,,
46,100,2,4,sqrt,0.9519102788162174,0.9473081328751431,0.9454867420515967,,
47,100,2,4,sqrt,0.9518639830557517,0.9392898052691867,0.9459381257161376,,
48,100,2,4,sqrt,0.9518871309359845,0.9415807560137457,0.9457413687341581,,
49,100,2,4,sqrt,0.9518408351755188,0.9404352806414662,0.9460654390574184,,
50,100,2,4,sqrt,0.9517250957743545,0.9450171821305842,0.9456372032731103,,
51,100,2,4,sqrt,0.951979722456916,0.9438717067583047,0.9457992384347403,,
52,100,2,4,sqrt,0.9517366697144709,0.9507445589919816,0.9453710026504323,,
53,100,2,4,sqrt,0.9518755569958681,0.9404352806414662,0.9457876644946239,,
54,100,2,4,sqrt,0.9520028703371489,0.9518900343642611,0.945764516614391,,
55,100,2,4,sqrt,0.9519334266964503,0.9404352806414662,0.9457760905545075,,
56,100,2,4,sqrt,0.9518176872952859,0.9564719358533792,0.9457413687341581,,
57,100,2,4,sqrt,0.952060740037731,0.9495990836197021,0.9460885869376512,,
58,100,2,4,sqrt,0.951979722456916,0.9484536082474226,0.9459728475364868,,
59,100,2,4,sqrt,0.9519102788162174,0.9358533791523482,0.9458455341952061,,
60,100,2,4,sqrt,0.9518292612354023,0.9461626575028637,0.9459265517760211,,
61,100,2,4,sqrt,0.9517945394150531,0.9541809851088202,0.9458571081353225,,
62,100,2,4,sqrt,0.9521301836784296,0.9473081328751431,0.945949699656254,,
63,100,2,4,sqrt,0.9518871309359845,0.9450171821305842,0.945683499033576,,
64,100,2,4,sqrt,0.9519450006365667,0.9541809851088202,0.9459612735963704,,
65,100,2,4,sqrt,0.9519681485167996,0.9438717067583047,0.9456487772132267,,
66,100,2,4,sqrt,0.9519334266964503,0.9564719358533792,0.9457992384347403,,
67,100,2,4,sqrt,0.9519681485167996,0.9369988545246277,0.9460538651173018,,
68,100,2,4,sqrt,0.9518871309359845,0.9369988545246277,0.9456256293329939,,
69,100,2,4,sqrt,0.9515746345528409,0.9507445589919816,0.945764516614391,,
70,100,2,4,sqrt,0.951979722456916,0.9461626575028637,0.945683499033576,,
71,100,2,4,sqrt,0.9518524091156353,0.9484536082474226,0.9458571081353225,,
72,100,2,4,sqrt,0.9518408351755188,0.9507445589919816,0.9456372032731103,,
73,100,2,4,sqrt,0.9518176872952859,0.9473081328751431,0.9457876644946239,,
74,100,2,4,sqrt,0.952107590102081,0.9438073394495413,0.9455105205898011,,
75,100,2,4,sqrt,0.9519687044281382,0.9403669724770642,0.9457188491007152,,
76,100,2,4,sqrt,0.9520497210712715,0.9403669724770642,0.945741996713039,,
77,100,2,4,sqrt,0.9517140806925766,0.9518348623853211,0.9455336682021249,,
78,100,2,4,sqrt,0.951783523529548,0.948394495412844,0.9454989467836392,,
79,100,2,4,sqrt,0.9517256544987385,0.9426605504587156,0.9457882919376867,,
80,100,2,4,sqrt,0.9520034258466239,0.944954128440367,0.945637832457582,,
81,100,2,4,sqrt,0.9516562116617671,0.948394495412844,0.9459156038054675,,
82,100,2,4,sqrt,0.9519224092034907,0.9472477064220184,0.9457998657438486,,
83,100,2,4,sqrt,0.9519339830096526,0.9438073394495413,0.9456609800699058,,
84,100,2,4,sqrt,0.9518182449480336,0.9552752293577982,0.9457072752945533,,
85,100,2,4,sqrt,0.9518413925603574,0.9438073394495413,0.9456725538760676,,
86,100,2,4,sqrt,0.9519455568158145,0.9461009174311926,0.945741996713039,,
87,100,2,4,sqrt,0.9523274924191569,0.948394495412844,0.9456725538760676,,
88,100,2,4,sqrt,0.9520728686835953,0.9311926605504587,0.9459156038054675,,
89,100,2,4,sqrt,0.9520034258466239,0.9346330275229358,0.9459387514177913,,
90,100,2,4,sqrt,0.9520265734589477,0.9438073394495413,0.945753570519201,,
91,100,2,4,sqrt,0.9518761139788431,0.9380733944954128,0.945637832457582,,
92,100,2,4,sqrt,0.9520381472651096,0.9380733944954128,0.9458114395500105,,
93,100,2,4,sqrt,0.9517719497233861,0.9506880733944955,0.945753570519201,,
94,100,2,4,sqrt,0.9518529663665193,0.9518348623853211,0.9455915372329344,,
95,100,2,4,sqrt,0.9516330640494433,0.9529816513761468,0.9456841276822295,,
96,100,2,4,sqrt,0.9518992615911669,0.948394495412844,0.9454526515589917,,
97,100,2,4,sqrt,0.9519687044281382,0.9415137614678899,0.9459850466424389,,
98,100,2,4,sqrt,0.952107590102081,0.9346330275229358,0.9459040299993056,,
99,100,2,4,sqrt,0.9517603759172242,0.9564220183486238,0.9456031110390963,,
100,100,3,4,sqrt,0.9521070357981968,0.9473081328751431,0.945764516614391,,
101,100,3,4,sqrt,0.9520144442772653,0.9461626575028637,0.9456950729736925,,
102,100,3,4,sqrt,0.9521070357981968,0.9461626575028637,0.9458571081353225,,
103,100,3,4,sqrt,0.9519565745766831,0.9495990836197021,0.9457529426742746,,
104,100,3,4,sqrt,0.9521070357981968,0.9312714776632303,0.945949699656254,,
105,100,3,4,sqrt,0.9520491660976146,0.9495990836197021,0.9456256293329939,,
106,100,3,4,sqrt,0.9518639830557517,0.9461626575028637,0.9458108123748568,,
107,100,3,4,sqrt,0.9520954618580804,0.9541809851088202,0.9456140553928774,,
108,100,3,4,sqrt,0.9518408351755188,0.9461626575028637,0.9459149778359047,,
109,100,3,4,sqrt,0.9521764794388954,0.9518900343642611,0.9456487772132267,,
110,100,3,4,sqrt,0.9516788000138887,0.9450171821305842,0.9458802560155554,,
111,100,3,4,sqrt,0.9516672260737723,0.9369988545246277,0.9456024814527609,,
112,100,3,4,sqrt,0.9520491660976146,0.9415807560137457,0.9457992384347403,,
113,100,3,4,sqrt,0.9521764794388954,0.9484536082474226,0.9455677596324117,,
114,100,3,4,sqrt,0.9521996273191282,0.9427262313860252,0.9458108123748568,,
115,100,3,4,sqrt,0.9519102788162174,0.9576174112256587,0.9454751681114802,,
116,100,3,4,sqrt,0.9517829654749367,0.9599083619702177,0.9456256293329939,,
117,100,3,4,sqrt,0.9517829654749367,0.9404352806414662,0.9459381257161376,,
118,100,3,4,sqrt,0.9517366697144709,0.9438717067583047,0.9456372032731103,,
119,100,3,4,sqrt,0.9516672260737723,0.9427262313860252,0.9459149778359047,,
120,100,3,4,sqrt,0.9520375921574982,0.9484536082474226,0.9457876644946239,,
121,100,3,4,sqrt,0.951898704876101,0.9576174112256587,0.9456256293329939,,
122,100,3,4,sqrt,0.9519681485167996,0.9369988545246277,0.945868682075439,,
123,100,3,4,sqrt,0.9520491660976146,0.9347079037800687,0.9462390481591648,,
124,100,3,4,sqrt,0.9519334266964503,0.9461626575028637,0.9454983159917131,,
125,100,3,4,sqrt,0.9522227751993612,0.9530355097365406,0.945764516614391,,
126,100,3,4,sqrt,0.9518639830557517,0.9541809851088202,0.9456372032731103,,
127,100,3,4,sqrt,0.9519334266964503,0.9518900343642611,0.9456372032731103,,
128,100,3,4,sqrt,0.952060740037731,0.9381443298969072,0.9458108123748568,,
129,100,3,4,sqrt,0.9518755569958681,0.9324169530355098,0.945868682075439,,
130,100,3,4,sqrt,0.9519912963970324,0.9381443298969072,0.9456719250934595,,
131,100,3,4,sqrt,0.9516903739540051,0.9438717067583047,0.9455214638719459,,
132,100,3,4,sqrt,0.9520723139778475,0.9450171821305842,0.9456603511533431,,
133,100,3,4,sqrt,0.9517482436545873,0.9587628865979382,0.9456719250934595,,
134,100,3,4,sqrt,0.952083887917964,0.9495990836197021,0.9455793335725281,,
135,100,3,4,sqrt,0.9521070357981968,0.9450171821305842,0.9459728475364868,,
136,100,3,4,sqrt,0.952060740037731,0.9484536082474226,0.9457182208539253,,
137,100,3,4,sqrt,0.952060740037731,0.9381443298969072,0.9457529426742746,,
138,100,3,4,sqrt,0.9520375921574982,0.9450171821305842,0.9457413687341581,,
139,100,3,4,sqrt,0.9519681485167996,0.9484536082474226,0.9458571081353225,,
140,100,3,4,sqrt,0.9517019478941215,0.9518900343642611,0.9456487772132267,,
141,100,3,4,sqrt,0.9519334266964503,0.9484536082474226,0.9456140553928774,,
142,100,3,4,sqrt,0.9521186097383132,0.9415807560137457,0.9457413687341581,,
143,100,3,4,sqrt,0.9520144442772653,0.9415807560137457,0.9459728475364868,,
144,100,3,4,sqrt,0.9518292612354023,0.9495990836197021,0.9456024814527609,,
145,100,3,4,sqrt,0.9517945394150531,0.9404352806414662,0.9457760905545075,,
146,100,3,4,sqrt,0.9518755569958681,0.9507445589919816,0.9457992384347403,,
147,100,3,4,sqrt,0.9522343491394776,0.9381443298969072,0.9457413687341581,,
148,100,3,4,sqrt,0.951898704876101,0.9427262313860252,0.945868682075439,,
149,100,3,4,sqrt,0.9522690709598268,0.9381443298969072,0.9461580305783498,,
150,100,3,4,sqrt,0.9517366697144709,0.9484536082474226,0.945949699656254,,
151,100,3,4,sqrt,0.952164905498779,0.9427262313860252,0.9459381257161376,,
152,100,3,4,sqrt,0.9517019478941215,0.9507445589919816,0.9457992384347403,,
153,100,3,4,sqrt,0.9519681485167996,0.9392898052691867,0.9458571081353225,,
154,100,3,4,sqrt,0.9519681485167996,0.9530355097365406,0.9456603511533431,,
155,100,3,4,sqrt,0.9518176872952859,0.9392898052691867,0.945868682075439,,
156,100,3,4,sqrt,0.9516440781935395,0.9564719358533792,0.9456719250934595,,
157,100,3,4,sqrt,0.9518871309359845,0.9473081328751431,0.9459265517760211,,
158,100,3,4,sqrt,0.9515746345528409,0.9473081328751431,0.9456719250934595,,
159,100,3,4,sqrt,0.9518061133551695,0.9369988545246277,0.9458571081353225,,
160,100,3,4,sqrt,0.9518061133551695,0.9450171821305842,0.9454057244707816,,
161,100,3,4,sqrt,0.9518871309359845,0.9541809851088202,0.9459265517760211,,
162,100,3,4,sqrt,0.9518639830557517,0.9461626575028637,0.9458108123748568,,
163,100,3,4,sqrt,0.9518639830557517,0.9450171821305842,0.9457182208539253,,
164,100,3,4,sqrt,0.9518871309359845,0.9530355097365406,0.9457760905545075,,
165,100,3,4,sqrt,0.9521880533790118,0.9438717067583047,0.945764516614391,,
166,100,3,4,sqrt,0.9518755569958681,0.9564719358533792,0.9454751681114802,,
167,100,3,4,sqrt,0.9520260182173818,0.9381443298969072,0.9459844214766033,,
168,100,3,4,sqrt,0.9518061133551695,0.9369988545246277,0.9457066469138089,,
169,100,3,4,sqrt,0.951979722456916,0.9495990836197021,0.9457413687341581,,
170,100,3,4,sqrt,0.9519565745766831,0.9427262313860252,0.9456950729736925,,
171,100,3,4,sqrt,0.9516440781935395,0.9484536082474226,0.9457066469138089,,
172,100,3,4,sqrt,0.9518639830557517,0.9530355097365406,0.9457529426742746,,
173,100,3,4,sqrt,0.9522343491394776,0.9473081328751431,0.9458802560155554,,
174,100,3,4,sqrt,0.9520265734589477,0.9461009174311926,0.9456957014883914,,
175,100,3,4,sqrt,0.9515867688247958,0.9403669724770642,0.9457651443253628,,
176,100,3,4,sqrt,0.9518645401726812,0.9438073394495413,0.945857734774658,,
177,100,3,4,sqrt,0.9521538853267285,0.9518348623853211,0.9459387514177913,,
178,100,3,4,sqrt,0.9519455568158145,0.9472477064220184,0.945857734774658,,
179,100,3,4,sqrt,0.9518992615911669,0.9426605504587156,0.9458693085808199,,
180,100,3,4,sqrt,0.9519455568158145,0.944954128440367,0.945753570519201,,
181,100,3,4,sqrt,0.9519802782343001,0.948394495412844,0.9457304229068771,,
182,100,3,4,sqrt,0.9520728686835953,0.9472477064220184,0.9456262586514201,,
183,100,3,4,sqrt,0.9516330640494433,0.9461009174311926,0.945857734774658,,
184,100,3,4,sqrt,0.9516562116617671,0.9552752293577982,0.945637832457582,,
185,100,3,4,sqrt,0.9520497210712715,0.944954128440367,0.9458230133561724,,
186,100,3,4,sqrt,0.9518413925603574,0.944954128440367,0.9456957014883914,,
187,100,3,4,sqrt,0.9518413925603574,0.9461009174311926,0.945741996713039,,
188,100,3,4,sqrt,0.9522001805513761,0.930045871559633,0.9459040299993056,,
