,estimators,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,fold,accuracy_in_sample,accuracy_out_of_sample,oob_score,auc,public_score,private_score
0,40.0,5.0,,2.0,1.0,,0,0.9990740847906852,0.9255441008018328,0.945741368734158,0.907264678471575,,
1,40.0,5.0,,2.0,1.0,,1,0.9992824157127812,0.9347079037800688,0.9456719250934597,0.9260938634713144,,
2,40.0,5.0,,2.0,1.0,,2,0.9990972326709182,0.9404352806414662,0.945845534195206,0.9434234055235446,,
3,40.0,5.0,,2.0,1.0,,3,0.9990740847906852,0.949599083619702,0.9456603511533432,0.943867249524631,,
4,40.0,5.0,,2.0,1.0,,4,0.9991088066110346,0.9484536082474226,0.9453478547701994,0.9171621983086768,,
5,40.0,5.0,,2.0,1.0,,5,0.9990972326709182,0.9335624284077892,0.9459612735963704,0.947321346242508,,
6,40.0,5.0,,2.0,1.0,,6,0.9989699193296374,0.9541809851088202,0.9454404462911308,0.9405136710331516,,
7,40.0,5.0,,2.0,1.0,,7,0.9989467714494044,0.9518900343642612,0.945625629332994,0.9495716778076176,,
8,40.0,5.0,,2.0,1.0,,8,0.998958345389521,0.9587628865979382,0.9454751681114802,0.9394223555888972,,
9,40.0,5.0,,2.0,1.0,,9,0.9991319544912676,0.9553264604810996,0.9451742456684528,0.9368569786378006,,
10,40.0,5.0,,2.0,1.0,,10,0.9990856587308016,0.9369988545246276,0.9455677596324116,0.9169826003671482,,
11,40.0,5.0,,2.0,1.0,,11,0.9990046411499868,0.9347079037800688,0.9451858196085694,0.930353536947056,,
12,40.0,5.0,,2.0,1.0,,12,0.9991666763116168,0.9347079037800688,0.9452321153690352,0.928059186637618,,
13,40.0,5.0,,2.0,1.0,,13,0.9990740847906852,0.9518900343642612,0.9455330378120624,0.9282818532818532,,
14,40.0,5.0,,2.0,1.0,,14,0.9991666763116168,0.9530355097365406,0.9454983159917132,0.955819090803395,,
15,40.0,5.0,,2.0,1.0,,15,0.9990162150901032,0.9576174112256588,0.94531313294985,0.955363466915191,,
16,40.0,5.0,,2.0,1.0,,16,0.9990162150901032,0.9541809851088202,0.9455330378120624,0.9480232672779256,,
17,40.0,5.0,,2.0,1.0,,17,0.999120380551151,0.949599083619702,0.945741368734158,0.92926579552891,,
18,40.0,5.0,,2.0,1.0,,18,0.999120380551151,0.9473081328751431,0.945741368734158,0.9347421245564856,,
19,40.0,5.0,,2.0,1.0,,19,0.9990856587308016,0.9553264604810996,0.9453015590097336,0.9492336430692596,,
20,40.0,5.0,,2.0,1.0,,20,0.9991666763116168,0.9530355097365406,0.9454983159917132,0.9375,,
21,40.0,5.0,,2.0,1.0,,21,0.999143528431384,0.9415807560137456,0.9457760905545076,0.9194117049380208,,
22,40.0,5.0,,2.0,1.0,,22,0.9992129720720824,0.9415807560137456,0.9454520202312472,0.9244849352125928,,
23,40.0,5.0,,2.0,1.0,,23,0.9991782502517332,0.9541809851088202,0.9456719250934597,0.9526172714628904,,
24,40.0,5.0,,2.0,1.0,,24,0.999143528431384,0.949599083619702,0.9455909075126444,0.9428878295114094,,
25,40.0,5.0,,2.0,1.0,,25,0.9991898241918497,0.9541809851088202,0.9456140553928774,0.943917265563284,,
26,40.0,5.0,,2.0,1.0,,26,0.9990856587308016,0.9541809851088202,0.9459265517760213,0.95285916366314,,
27,40.0,5.0,,2.0,1.0,,27,0.9989930672098702,0.9530355097365406,0.9454751681114802,0.9415232847151308,,
28,40.0,5.0,,2.0,1.0,,28,0.9989467714494044,0.9427262313860252,0.9458802560155554,0.9313949385450768,,
29,40.0,5.0,,2.0,1.0,,29,0.9990625108505689,0.9541809851088202,0.945521463871946,0.944467869792545,,
30,40.0,5.0,,2.0,1.0,,30,0.998877327808706,0.9461626575028635,0.9456719250934597,0.9456057781919852,,
31,40.0,5.0,,2.0,1.0,,31,0.9990972326709182,0.9599083619702176,0.9452436893091516,0.9455978272052016,,
32,40.0,5.0,,2.0,1.0,,32,0.9990972326709182,0.9576174112256588,0.9450353583870555,0.9506631299734748,,
33,40.0,5.0,,2.0,1.0,,33,0.9991666763116168,0.9473081328751431,0.9457297947940416,0.9420735890851352,,
34,40.0,5.0,,2.0,1.0,,34,0.999143528431384,0.9461626575028635,0.945336280830083,0.9196087271871876,,
35,40.0,5.0,,2.0,1.0,,35,0.999120380551151,0.9415807560137456,0.9453941505306652,0.938859282730808,,
36,40.0,5.0,,2.0,1.0,,36,0.9991088066110346,0.9392898052691868,0.9453710026504324,0.9236773993166996,,
37,40.0,5.0,,2.0,1.0,,37,0.9990856587308016,0.9381443298969072,0.9452436893091516,0.9390901327260436,,
38,40.0,5.0,,2.0,1.0,,38,0.9991898241918497,0.9381443298969072,0.9454867420515968,0.9419963598045792,,
39,40.0,5.0,,2.0,1.0,,39,0.9990856587308016,0.9473081328751431,0.9457066469138088,0.9341309359151684,,
40,40.0,5.0,,2.0,1.0,,40,0.9989120496290552,0.9450171821305842,0.9458918299556718,0.9148988703936132,,
41,40.0,5.0,,2.0,1.0,,41,0.9991088066110346,0.9484536082474226,0.945579333572528,0.9339422660209908,,
42,40.0,5.0,,2.0,1.0,,42,0.999120380551151,0.9473081328751431,0.9450469323271722,0.933561027716872,,
43,40.0,5.0,,2.0,1.0,,43,0.9991551023715004,0.9484536082474226,0.945787664494624,0.9394526972771736,,
