,estimators,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,fold,accuracy_in_sample,accuracy_out_of_sample,oob_score,auc,public_score,private_score
0,100.0,1.0,,2.0,1.0,,0,0.9999537042395342,0.9243986254295533,0.9438200946748302,0.9083271202236719,,
1,100.0,1.0,,2.0,1.0,,1,0.9999421302994178,0.9335624284077892,0.9444913832015833,0.9194671387073349,,
2,100.0,1.0,,2.0,1.0,,2,0.999918982419185,0.9404352806414662,0.943681207393433,0.9329922511424598,,
3,100.0,1.0,,2.0,1.0,,3,0.9999537042395342,0.9461626575028637,0.9435307461719193,0.9347813302491522,,
4,100.0,1.0,,2.0,1.0,,4,0.9999537042395342,0.9461626575028637,0.9433802849504057,0.9270282504475217,,
5,100.0,1.0,,2.0,1.0,,5,0.9999537042395342,0.9335624284077892,0.9437390770940152,0.9427247579529736,,
6,100.0,1.0,,2.0,1.0,,6,0.9999652781796508,0.9484536082474226,0.9436580595132,0.9379181424635971,,
7,100.0,1.0,,2.0,1.0,,7,0.9999537042395342,0.9461626575028637,0.9442483304591383,0.9492825358242019,,
8,100.0,1.0,,2.0,1.0,,8,0.9999537042395342,0.9564719358533792,0.9435654679922686,0.9453717596065684,,
9,100.0,1.0,,2.0,1.0,,9,0.9999537042395342,0.9518900343642611,0.9436233376928508,0.9343232110355397,,
10,100.0,1.0,,2.0,1.0,,10,0.9999421302994178,0.9347079037800687,0.9440515734771588,0.9222852981083886,,
11,100.0,1.0,,2.0,1.0,,11,0.9999305563593014,0.9324169530355098,0.9440978692376245,0.9299985801729033,,
12,100.0,1.0,,2.0,1.0,,12,0.9999652781796508,0.9324169530355098,0.9441210171178575,0.9132125998547568,,
13,100.0,1.0,,2.0,1.0,,13,0.999918982419185,0.9450171821305842,0.9433339891899399,0.904490957122536,,
14,100.0,1.0,,2.0,1.0,,14,0.9999652781796508,0.9495990836197021,0.9439589819562274,0.9570495678797039,,
15,100.0,1.0,,2.0,1.0,,15,0.9999768521197672,0.9564719358533792,0.9437159292137822,0.9516169617893756,,
16,100.0,1.0,,2.0,1.0,,16,0.9999305563593014,0.9518900343642611,0.9436580595132,0.950093660652667,,
17,100.0,1.0,,2.0,1.0,,17,0.9999421302994178,0.9507445589919816,0.9434497285911043,0.91870025965253,,
18,100.0,1.0,,2.0,1.0,,18,0.9999537042395342,0.9404352806414662,0.9437043552736658,0.9207946993903515,,
19,100.0,1.0,,2.0,1.0,,19,0.9999652781796508,0.9495990836197021,0.9433455631300564,0.9546125107768945,,
20,100.0,1.0,,2.0,1.0,,20,0.9999537042395342,0.9530355097365406,0.9440399995370424,0.9395057097607735,,
21,100.0,1.0,,2.0,1.0,,21,0.9999537042395342,0.9358533791523482,0.9437506510341316,0.9251625685836212,,
22,100.0,1.0,,2.0,1.0,,22,0.999918982419185,0.9415807560137457,0.9437969467945972,0.9138209868072844,,
23,100.0,1.0,,2.0,1.0,,23,0.9999421302994178,0.9518900343642611,0.9435191722318029,0.9366002564889909,,
24,100.0,1.0,,2.0,1.0,,24,0.9999421302994178,0.9473081328751431,0.9440862952975081,0.9295896063763637,,
25,100.0,1.0,,2.0,1.0,,25,0.9999421302994178,0.9484536082474226,0.94349602435157,0.9342305543245795,,
26,100.0,1.0,,2.0,1.0,,26,0.9999537042395342,0.9495990836197021,0.943600189812618,0.9414457621206835,,
27,100.0,1.0,,2.0,1.0,,27,0.9999305563593014,0.9495990836197021,0.943415006770755,0.9387439548370937,,
28,100.0,1.0,,2.0,1.0,,28,0.9999421302994178,0.9438717067583047,0.9439705558963438,0.93139983925666,,
29,100.0,1.0,,2.0,1.0,,29,0.9999652781796508,0.9450171821305842,0.9431025103876113,0.937430895223103,,
30,100.0,1.0,,2.0,1.0,,30,0.9999652781796508,0.9450171821305842,0.9435654679922686,0.9395806150978564,,
31,100.0,1.0,,2.0,1.0,,31,0.9999652781796508,0.9564719358533792,0.9435191722318029,0.9557622271146684,,
32,100.0,1.0,,2.0,1.0,,32,0.9998842605988356,0.9507445589919816,0.9434381546509878,0.950819439181508,,
33,100.0,1.0,,2.0,1.0,,33,0.9999421302994178,0.9392898052691867,0.9437853728544808,0.9294591574696647,,
34,100.0,1.0,,2.0,1.0,,34,0.9999652781796508,0.9473081328751431,0.9443409219800697,0.9094691549212945,,
35,100.0,1.0,,2.0,1.0,,35,0.9999074084790686,0.9427262313860252,0.9436927813335494,0.9224398674924384,,
36,100.0,1.0,,2.0,1.0,,36,0.9999537042395342,0.9381443298969072,0.9432645455492413,0.8925561652344962,,
37,100.0,1.0,,2.0,1.0,,37,0.9999537042395342,0.9358533791523482,0.9438663904352959,0.9265647795609011,,
38,100.0,1.0,,2.0,1.0,,38,0.9999652781796508,0.9381443298969072,0.9436464855730836,0.9341795191110259,,
39,100.0,1.0,,2.0,1.0,,39,0.9999652781796508,0.9461626575028637,0.9438085207347138,0.9210004610419549,,
40,100.0,1.0,,2.0,1.0,,40,0.9999537042395342,0.9461626575028637,0.9440631474172753,0.9163648896113248,,
41,100.0,1.0,,2.0,1.0,,41,0.999918982419185,0.9450171821305842,0.9438779643754123,0.9211056886058299,,
42,100.0,1.0,,2.0,1.0,,42,0.9999652781796508,0.9461626575028637,0.9440631474172753,0.9375105414066452,,
43,100.0,1.0,,2.0,1.0,,43,0.9999305563593014,0.9461626575028637,0.9437853728544808,0.9327414409810935,,
44,100.0,1.0,,2.0,1.0,,44,0.9999421302994178,0.9484536082474226,0.9434613025312207,0.9195710455764075,,
45,100.0,1.0,,2.0,1.0,,45,0.9999768521197672,0.9587628865979382,0.9438200946748302,0.9587906485223775,,
46,100.0,1.0,,2.0,1.0,,46,0.9999305563593014,0.9484536082474226,0.9434265807108714,0.9481040524755144,,
47,100.0,1.0,,2.0,1.0,,47,0.999918982419185,0.9507445589919816,0.943681207393433,0.9460858794384805,,
48,100.0,1.0,,2.0,1.0,,48,0.9999537042395342,0.9415807560137457,0.9439937037765767,0.9386341506594671,,
49,100.0,1.0,,2.0,1.0,,49,0.9999074084790686,0.9369988545246277,0.9438548164951794,0.9221374943641817,,
50,100.0,1.0,,2.0,1.0,,50,0.9999652781796508,0.9610538373424972,0.9437853728544808,0.9617730370894928,,
51,100.0,1.0,,2.0,1.0,,51,0.9999652781796508,0.9266895761741123,0.944028425596926,0.895526133294401,,
52,100.0,1.0,,2.0,1.0,,52,0.9999305563593014,0.9369988545246277,0.9438779643754123,0.934071000461042,,
53,100.0,1.0,,2.0,1.0,,53,0.9999537042395342,0.9427262313860252,0.9440399995370424,0.9179150135340577,,
54,100.0,1.0,,2.0,1.0,,54,0.9999537042395342,0.9335624284077892,0.9439821298364602,0.9100113883424785,,
55,100.0,1.0,,2.0,1.0,,55,0.9999305563593014,0.9484536082474226,0.9437159292137822,0.9568738229755179,,
56,100.0,1.0,,2.0,1.0,,56,0.9999421302994178,0.9427262313860252,0.9437853728544808,0.9326207334785768,,
57,100.0,1.0,,2.0,1.0,,57,0.9999537042395342,0.9518900343642611,0.9440052777166931,0.9518015994249258,,
58,100.0,1.0,,2.0,1.0,,58,0.9999537042395342,0.9484536082474226,0.943600189812618,0.9355295566502462,,
59,100.0,1.0,,2.0,1.0,,59,0.999918982419185,0.9358533791523482,0.9440631474172753,0.9238516702977488,,
60,100.0,1.0,,2.0,1.0,,60,0.9999652781796508,0.9369988545246277,0.9443293480399533,0.8950296538904134,,
61,100.0,1.0,,2.0,1.0,,61,0.999918982419185,0.9495990836197021,0.9438895383155288,0.9338201344976412,,
62,100.0,1.0,,2.0,1.0,,62,0.9999652781796508,0.9450171821305842,0.9434844504114536,0.9550163576881134,,
63,100.0,1.0,,2.0,1.0,,63,0.9999421302994178,0.9427262313860252,0.9442599043992547,0.9347399176166299,,
