,estimators,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,fold,accuracy_in_sample,accuracy_out_of_sample,oob_score,auc,public_score,private_score
0,100.0,5.0,,2.0,1.0,2.0,0,0.8333005405030034,0.8304696449026346,0.8355227370053587,0.8182805219012117,,
1,100.0,5.0,,2.0,1.0,2.0,1,0.8333584102035856,0.8247422680412371,0.8362866170530434,0.8749228395061728,,
2,100.0,5.0,,2.0,1.0,2.0,2,0.833369984143702,0.8235967926689576,0.8357194939873381,0.8905677076748009,,
3,100.0,5.0,,2.0,1.0,2.0,3,0.8331963750419555,0.8407789232531501,0.8354648673047765,0.8946641052280793,,
4,100.0,5.0,,2.0,1.0,2.0,4,0.8385088135553986,0.856815578465063,0.8390759366211039,0.8869879220592168,,
5,100.0,5.0,,2.0,1.0,2.0,5,0.8333236883832363,0.8281786941580757,0.8338560896285923,0.8965053019824805,,
6,100.0,5.0,,2.0,1.0,2.0,6,0.833288966562887,0.8316151202749141,0.835742641867571,0.888893573958509,,
7,100.0,5.0,,2.0,1.0,2.0,7,0.8331963750419555,0.8407789232531501,0.8337634981076608,0.8864309097680982,,
8,100.0,5.0,,2.0,1.0,2.0,8,0.8330806356407912,0.852233676975945,0.8366801310170021,0.8861329915812286,,
9,100.0,5.0,,2.0,1.0,2.0,9,0.8376870638071319,0.8419243986254296,0.8382889086931864,0.8761184021457995,,
10,100.0,5.0,,2.0,1.0,2.0,10,0.8339602550896401,0.8465063001145475,0.836089860071064,0.8799784499960092,,
11,100.0,5.0,,2.0,1.0,2.0,11,0.833717202347195,0.7892325315005727,0.8347704308977906,0.891927494162933,,
12,100.0,5.0,,2.0,1.0,2.0,12,0.8333584102035856,0.8247422680412371,0.8340875684309209,0.8522921205519245,,
13,100.0,5.0,,2.0,1.0,2.0,13,0.8336246108262636,0.847651775486827,0.8374555850048032,0.8821784190205242,,
14,100.0,5.0,,2.0,1.0,2.0,14,0.8349671878797699,0.8407789232531501,0.8380227080705085,0.9091481610665427,,
15,100.0,5.0,,2.0,1.0,2.0,15,0.8333005405030034,0.8304696449026346,0.8347704308977906,0.9105358807082945,,
16,100.0,5.0,,2.0,1.0,2.0,16,0.8331848011018391,0.8419243986254296,0.8351870927419821,0.8994676131322094,,
17,100.0,5.0,,2.0,1.0,2.0,17,0.8356384764065231,0.8579610538373424,0.8384856656751658,0.8711184057756856,,
18,100.0,5.0,,2.0,1.0,2.0,18,0.8331963750419555,0.8407789232531501,0.8359393988495504,0.8832258443926058,,
19,100.0,5.0,,2.0,1.0,2.0,19,0.8332426708024213,0.8361970217640321,0.8361130079512968,0.9150780726123192,,
20,100.0,5.0,,2.0,1.0,2.0,20,0.8330806356407912,0.852233676975945,0.8339486811495237,0.9071434525297992,,
