,estimators,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,fold,accuracy_in_sample,accuracy_out_of_sample,oob_score,auc,public_score,private_score
0,100.0,5.0,,2.0,1.0,,0,0.999918982419185,0.9278350515463918,0.9471302415481302,0.9147064305684994,,
1,100.0,5.0,,2.0,1.0,,1,0.9999421302994178,0.9369988545246277,0.9467020057638221,0.9334286492374728,,
2,100.0,5.0,,2.0,1.0,,2,0.9999652781796508,0.9427262313860252,0.9467251536440551,0.9423577118292,,
3,100.0,5.0,,2.0,1.0,,3,0.9999652781796508,0.9495990836197021,0.9467367275841715,0.9418383549291356,,
4,100.0,5.0,,2.0,1.0,,4,0.9999421302994178,0.9484536082474226,0.9468524669853359,0.9283502397070018,,
5,100.0,5.0,,2.0,1.0,,5,0.9999305563593014,0.9369988545246277,0.9469682063865001,0.9523236514522821,,
6,100.0,5.0,,2.0,1.0,,6,0.9998958345389521,0.9518900343642611,0.9466094142428907,0.9468900507861546,,
7,100.0,5.0,,2.0,1.0,,7,0.9999421302994178,0.9507445589919816,0.9468524669853359,0.960706094524925,,
8,100.0,5.0,,2.0,1.0,,8,0.9999768521197672,0.9564719358533792,0.946910336685918,0.9519411102775696,,
9,100.0,5.0,,2.0,1.0,,9,0.9999421302994178,0.9576174112256587,0.9468756148655687,0.9358750838202892,,
10,100.0,5.0,,2.0,1.0,,10,0.9999305563593014,0.9415807560137457,0.9471186676080138,0.9390913081650571,,
11,100.0,5.0,,2.0,1.0,,11,0.9999537042395342,0.9347079037800687,0.9468987627458015,0.9410613996340002,,
12,100.0,5.0,,2.0,1.0,,12,0.9999421302994178,0.9335624284077892,0.9469566324463837,0.94135348583878,,
13,100.0,5.0,,2.0,1.0,,13,0.9999537042395342,0.9507445589919816,0.9467945972847537,0.936720178825442,,
14,100.0,5.0,,2.0,1.0,,14,0.9999768521197672,0.9530355097365406,0.9467598754644043,0.9609493082199744,,
